t,joy_roll,joy_pitch,joy_yaw,gyro_roll,gyro_pitch,gyro_yaw,out_roll,out_pitch,out_yaw
2.0333,0.4000,0.6000,0.1040,126.2895,153.1493,439.7621,102.5309,153.2717,492.0422
2.0500,0.4000,0.6000,0.1545,117.0359,153.1990,461.8773,95.4441,153.3149,513.4794
2.0667,0.4000,0.6000,0.2034,110.0274,153.2460,483.0264,93.6742,153.3559,532.3743
2.0833,0.4000,0.6000,0.2500,104.8545,153.2906,497.2968,92.7844,153.3947,530.5942
2.1000,0.4000,0.6000,0.2939,101.2325,153.3329,504.5116,92.7811,153.4314,521.3462
2.1167,0.4000,0.6000,0.3346,98.7532,153.3729,504.2680,92.9684,153.4662,503.6996
2.1333,0.4000,0.6000,0.3716,97.1027,153.4108,496.7755,93.2515,153.4992,479.2931
2.1500,0.4000,0.6000,0.4045,96.0292,153.4467,482.1591,93.5242,153.5305,448.0542
2.1667,0.4000,0.6000,0.4330,95.3513,153.4807,460.5769,93.7695,153.5601,410.2184
2.1833,0.4000,0.6000,0.4568,94.9398,153.5129,432.1727,93.9796,153.5881,365.8963
2.2000,0.4000,0.6000,0.4755,94.7055,153.5434,397.1596,94.1588,153.6146,315.4622
2.2167,0.4000,0.6000,0.4891,94.5875,153.5723,355.8714,94.3122,153.6398,259.5325
2.2333,0.4000,0.6000,0.4973,94.5449,153.5997,308.8065,94.4455,153.6636,198.9882
2.2500,0.4000,0.6000,0.5000,94.5503,153.6257,256.6456,94.5630,153.6862,134.9367
2.2667,0.4000,0.6000,0.4973,94.5857,153.6502,200.2496,94.6682,153.7076,68.6589
2.2833,0.4000,0.6000,0.4891,94.6391,153.6735,140.6358,94.7636,153.7278,1.5370
2.3000,0.4000,0.6000,0.4755,94.7027,153.6956,78.9356,94.8512,153.7470,-65.0316
2.3167,0.4000,0.6000,0.4568,94.7716,153.7165,16.3344,94.9323,153.7652,-129.7351
2.3333,0.4000,0.6000,0.4330,94.8424,153.7363,-45.9806,95.0078,153.7824,-191.3822
2.3500,0.4000,0.6000,0.4045,94.9132,153.7550,-106.8808,95.0784,153.7987,-248.9812
2.3667,0.4000,0.6000,0.3716,94.9827,153.7728,-165.3503,95.1448,153.8142,-301.7792
2.3833,0.4000,0.6000,0.3346,95.0501,153.7896,-220.5310,95.2073,153.8288,-349.2860
2.4000,0.4000,0.6000,0.2939,95.1149,153.8055,-271.7536,95.2663,153.8427,-391.2729
2.4167,0.4000,0.6000,0.2500,95.1771,153.8206,-318.5521,95.3220,153.8558,-427.7486
2.4333,0.4000,0.6000,0.2034,95.2363,153.8349,-360.6607,95.3747,153.8683,-458.9142
2.4500,0.4000,0.6000,0.1545,95.2928,153.8484,-397.9934,95.4245,153.8800,-485.1029
2.4667,0.4000,0.6000,0.1040,95.3464,153.8613,-430.6084,95.4716,153.8912,-506.7100
2.4833,0.4000,0.6000,0.0523,95.3974,153.8734,-458.6619,95.5163,153.9018,-524.1202
2.5000,0.4000,0.6000,0.0000,95.4457,153.8849,-438.0812,95.5585,153.9118,-390.0595
2.5167,0.4000,0.6000,-0.0523,95.4916,153.8959,-417.3445,95.5985,153.9213,-368.9588
2.5333,0.4000,0.6000,-0.1040,95.5350,153.9062,-439.7509,95.6364,153.9303,-492.0324
2.5500,0.4000,0.6000,-0.1545,95.5762,153.9160,-461.8666,95.6723,153.9388,-513.4701
2.5667,0.4000,0.6000,-0.2034,95.6153,153.9252,-483.0163,95.7064,153.9469,-532.3654
2.5833,0.4000,0.6000,-0.2500,95.6523,153.9340,-497.2871,95.7386,153.9545,-530.5859
2.6000,0.4000,0.6000,-0.2939,95.6873,153.9423,-504.5025,95.7691,153.9618,-521.3383
2.6167,0.4000,0.6000,-0.3346,95.7205,153.9502,-504.2594,95.7980,153.9686,-503.6921
2.6333,0.4000,0.6000,-0.3716,95.7520,153.9577,-496.7673,95.8253,153.9751,-479.2859
2.6500,0.4000,0.6000,-0.4045,95.7818,153.9648,-482.1514,95.8513,153.9813,-448.0475
2.6667,0.4000,0.6000,-0.4330,95.8100,153.9715,-460.5696,95.8758,153.9871,-410.2120
2.6833,0.4000,0.6000,-0.4568,95.8367,153.9778,-432.1658,95.8991,153.9926,-365.8902
2.7000,0.4000,0.6000,-0.4755,95.8621,153.9838,-397.1529,95.9212,153.9978,-315.4564
2.7167,0.4000,0.6000,-0.4891,95.8860,153.9895,-355.8652,95.9420,154.0028,-259.5270
2.7333,0.4000,0.6000,-0.4973,95.9088,153.9949,-308.8005,95.9618,154.0075,-198.9831
2.7500,0.4000,0.6000,-0.5000,95.9303,154.0000,-256.6399,95.9806,154.0119,-134.9318
2.7667,0.4000,0.6000,-0.4973,95.9507,154.0049,-200.2442,95.9983,154.0161,-68.6543
2.7833,0.4000,0.6000,-0.4891,95.9700,154.0094,-140.6307,96.0151,154.0201,-1.5326
2.8000,0.4000,0.6000,-0.4755,95.9883,154.0138,-78.9308,96.0310,154.0239,65.0357
2.8167,0.4000,0.6000,-0.4568,96.0057,154.0179,-16.3298,96.0461,154.0275,129.7390
2.8333,0.4000,0.6000,-0.4330,96.0221,154.0218,45.9849,96.0604,154.0309,191.3859
2.8500,0.4000,0.6000,-0.4045,96.0377,154.0255,106.8849,96.0740,154.0341,248.9848
2.8667,0.4000,0.6000,-0.3716,96.0524,154.0290,165.3542,96.0868,154.0371,301.7825
2.8833,0.4000,0.6000,-0.3346,96.0664,154.0323,220.5347,96.0989,154.0400,349.2892
2.9000,0.4000,0.6000,-0.2939,96.0796,154.0354,271.7570,96.1104,154.0428,391.2759
2.9167,0.4000,0.6000,-0.2500,96.0921,154.0384,318.5554,96.1214,154.0453,427.7514
2.9333,0.4000,0.6000,-0.2034,96.1040,154.0412,360.6638,96.1317,154.0478,458.9169
2.9500,0.4000,0.6000,-0.1545,96.1152,154.0439,397.9963,96.1415,154.0501,485.1055
2.9667,0.4000,0.6000,-0.1040,96.1259,154.0464,430.6112,96.1507,154.0523,506.7125
2.9833,0.4000,0.6000,-0.0523,96.1360,154.0488,458.6646,96.1595,154.0544,524.1225
3.0000,0.4000,0.6000,-0.0000,96.1455,154.0511,438.0837,96.1678,154.0564,390.0617
3.0167,0.4000,0.6000,0.0523,96.1546,154.0532,417.3469,96.1757,154.0582,368.9609
3.0333,0.4000,0.6000,0.1040,96.1632,154.0553,439.7531,96.1832,154.0600,492.0343
3.0500,0.4000,0.6000,0.1545,96.1713,154.0572,461.8688,96.1902,154.0617,513.4720
3.0667,0.4000,0.6000,0.2034,96.1790,154.0590,483.0183,96.1969,154.0633,532.3672
3.0833,0.4000,0.6000,0.2500,96.1863,154.0608,497.2891,96.2033,154.0648,530.5875
3.1000,0.4000,0.6000,0.2939,96.1932,154.0624,504.5043,96.2093,154.0662,521.3399
3.1167,0.4000,0.6000,0.3346,96.1997,154.0639,504.2611,96.2150,154.0676,503.6936
3.1333,0.4000,0.6000,0.3716,96.2059,154.0654,496.7690,96.2204,154.0688,479.2874
3.1500,0.4000,0.6000,0.4045,96.2118,154.0668,482.1529,96.2255,154.0701,448.0488
3.1667,0.4000,0.6000,0.4330,96.2173,154.0681,460.5710,96.2303,154.0712,410.2133
3.1833,0.4000,0.6000,0.4568,96.2226,154.0694,432.1672,96.2349,154.0723,365.8914
3.2000,0.4000,0.6000,0.4755,96.2276,154.0706,397.1543,96.2392,154.0733,315.4575
3.2167,0.4000,0.6000,0.4891,96.2323,154.0717,355.8664,96.2433,154.0743,259.5281
3.2333,0.4000,0.6000,0.4973,96.2368,154.0727,308.8017,96.2472,154.0752,198.9841
3.2500,0.4000,0.6000,0.5000,96.2410,154.0737,256.6411,96.2509,154.0761,134.9328
3.2667,0.4000,0.6000,0.4973,96.2451,154.0747,200.2453,96.2544,154.0769,68.6552
3.2833,0.4000,0.6000,0.4891,96.2489,154.0756,140.6317,96.2577,154.0777,1.5334
3.3000,0.4000,0.6000,0.4755,96.2525,154.0765,78.9318,96.2609,154.0785,-65.0349
3.3167,0.4000,0.6000,0.4568,96.2559,154.0773,16.3308,96.2639,154.0792,-129.7382
3.3333,0.4000,0.6000,0.4330,96.2591,154.0780,-45.9840,96.2667,154.0798,-191.3852
3.3500,0.4000,0.6000,0.4045,96.2622,154.0788,-106.8840,96.2693,154.0805,-248.9841
3.3667,0.4000,0.6000,0.3716,96.2651,154.0795,-165.3534,96.2719,154.0811,-301.7819
3.3833,0.4000,0.6000,0.3346,96.2678,154.0801,-220.5339,96.2743,154.0816,-349.2885
3.4000,0.4000,0.6000,0.2939,96.2704,154.0807,-271.7564,96.2765,154.0822,-391.2753
3.4167,0.4000,0.6000,0.2500,96.2729,154.0813,-318.5547,96.2787,154.0827,-427.7509
3.4333,0.4000,0.6000,0.2034,96.2752,154.0819,-360.6632,96.2807,154.0832,-458.9163
